query,query_tokens,final_rank,rerank_score,rrf_score,rrf_rank,dense_rank,bm25_rank,metadata,page_content
어린이 보호구역에서는 몇 km로 달려야 해?,"어린이, 보호, 구역, km, 어린이보호구역, 보호구역",1,0.3680165410041809,0.0322664584959666,1,1.0,3.0,"{'law_title': '도로교통법(법률)(제20270호)', 'source': 'file/도로 교통법/도로교통법(법률)(제20270호)(20240814).pdf'}","도로교통법(법률)(제20270호) 제12조(어린이 보호구역의 지정ㆍ해제 및 관리) ① 시장등은 교통사고의 위험으로부터 어린이를 보호하기 위하여 필요
하다고 인정하는 경우에는 다음 각 호의 어느 하나에 해당하는 시설이나 장소의 주변도로 가운데 일정 구간을 어린
이 보호구역으로 지정하여 자동차등과 노면전차의 통행속도를 시속 30킬로미터 이내로 제한할 수 있다. 1. 「유아교육법」 제2조에 따른 유치원, 「초ㆍ중등교육법」"
어린이 보호구역에서는 몇 km로 달려야 해?,"어린이, 보호, 구역, km, 어린이보호구역, 보호구역",2,-0.0478484630584716,0.032258064516129,2,2.0,2.0,"{'law_title': '도로교통법 시행규칙(행정안전부령)(제00507호)', 'source': 'file/도로 교통법/도로교통법 시행규칙(행정안전부령)(제00507호)(20240731).pdf'}","도로교통법 시행규칙(행정안전부령)(제00507호) 제12조 또는 제12조의2에 따라 어린이 보호구역, 노인 보호구역 또는 장애인 보호구역으로 지정된 구간인 경우
또는 보행자의 안전이나 통행을 위하여 특히 필요하다고 인정되는 경우에는 그렇지 않다.
가. 법 제2조제1호에 따른 도로로서 「도로의 구조ㆍ시설 기준에 관한 규칙」 제3조제1항에 따른 도로 중 집산도로
(集散道路) 및 국지도로(局地道路): 100미터
나. 법 제2조제1호에 따른 도로로서 가목에 따른 도로 외의 도로: 200미터"
어린이 보호구역에서는 몇 km로 달려야 해?,"어린이, 보호, 구역, km, 어린이보호구역, 보호구역",3,-0.6054060459136963,0.0151515151515151,10,,6.0,"{'law_title': '도로교통법 시행령(대통령령)(제34533호)', 'source': 'file/도로 교통법/도로교통법 시행령(대통령령)(제34533호)(20240901).pdf'}","도로교통법 시행령(대통령령)(제34533호) 제160조 및 법 제161조에 따라 과
태료를 부과하려는 경우에는 행정안전부령으로 정하는 단속대장과 과태료 부과대상자 명부에 그 내용을 기록하여야
한다. 이 경우 단속대장은 특별한 사유가 없으면 전자적 처리가 가능한 방법으로 작성ㆍ관리하여야 한다. ② 시장등은 법 제160조제3항에 따라 법 제32조부터 제34조까지의 규정을 위반한 차의 운전자를 고용하고 있는 사
람이나 직접 운전자나 차를 관리하는 지위에 있는 사람 또는 차의 사용자(이하 “고용주등”이라 한다)에게 과태료를
부과하려는 경우에는 주차ㆍ정차위반 차에 과태료부과대상차표지를 붙인 후 해당 차를 촬영하거나 무인 교통단속
용 장비로 주차ㆍ정차위반 차를 촬영한 사진증거 등의 증거자료를 갖추어 부과하여야 하고, 증거자료는 관련 번호
를 부여하여 보존하여야 한다.
③ 시장등은 법 제160조제3항에도 불구하고 같은 조 제4항제3호에 따라 차의 고용주등에게 과태료처분을 할 수 없
을 때에는 위반행위를 한 운전자를 증명하는 자료를 첨부하여 관할 경찰서장에게 그 사실을 통보하여야 한다.
④ 법 제160조에 따른 과태료의 부과기준은 별표 6과 같다. 다만, 어린이보호구역 및 노인ㆍ장애인보호구역에서 오
전 8시부터 오후 8시까지 법"
어린이 보호구역에서는 몇 km로 달려야 해?,"어린이, 보호, 구역, km, 어린이보호구역, 보호구역",4,-0.6057238578796387,0.0313188157572791,3,7.0,1.0,"{'law_title': '도로교통법 시행령(대통령령)(제34533호)', 'source': 'file/도로 교통법/도로교통법 시행령(대통령령)(제34533호)(20240901).pdf'}","도로교통법 시행령(대통령령)(제34533호) 제93조(범칙행위의 범위와 범칙금액) ① 법 제162조에 따른 범칙행위의 구체적인 범위와 범칙금액은 별표 8 및 별표
9와 같다.
② 별표 8에도 불구하고 어린이보호구역 및 노인ㆍ장애인보호구역에서 오전 8시부터 오후 8시까지 법"
어린이 보호구역에서는 몇 km로 달려야 해?,"어린이, 보호, 구역, km, 어린이보호구역, 보호구역",5,-0.6667380332946777,0.0153846153846153,8,,5.0,"{'law_title': '도로교통법(법률)(제20270호)', 'source': 'file/도로 교통법/도로교통법(법률)(제20270호)(20240814).pdf'}","도로교통법(법률)(제20270호) 제147조

제147조의2(규제의 재검토) 경찰청장은 다음 각 호의 사항에 대하여 다음 각 호의 기준일을 기준으로 3년마다(매 3년
이 되는 해의 기준일과 같은 날 전까지를 말한다) 폐지, 완화 또는 유지 등의 타당성을 검토하여야 한다.
1. 제12조에 따른 어린이 보호구역의 지정 및 관리: 2014년 1월 1일
2. 제12조의2에 따른 노인 및 장애인 보호구역의 지정 및 관리: 2014년 1월 1일 제147조의3(국제협력 전담기관의 지정) ① 경찰청장은 도로교통 관련 국제협력을 위하여 기술의 국제교류, 국제표준화
및 국제공동연구개발 등의 업무를 전담하는 기관을 지정할 수 있다.
② 경찰청장은 제1항에 따라 지정받은 자가 다음 각 호의 어느 하나에 해당하는 경우에는 전담기관의 지정을 취소
하거나 6개월의 범위에서 기간을 정하여 업무의 전부 또는 일부를 정지할 수 있다. 다만, 제1호에 해당하는 경우에
는 지정을 취소하여야 한다.

도로교통법
1. 거짓이나 그 밖의 부정한 방법으로 지정을 받은 경우
2. 제3항에 따른 지정기준에 적합하지 아니하게 된 경우
③ 제1항에 따른 전담기관의 지정ㆍ운영 및 제2항에 따른 지정취소ㆍ업무정지 등에 필요한 사항은 대통령령으로
정한다.
제147조의3

제13장 벌칙"
스쿨존에서 속도위반하면 어떻게 돼?,"스쿨존, 속도위반",1,-0.2869681417942047,0.0310544053923928,1,2.0,7.0,"{'law_title': '도로교통법(법률)(제20270호)', 'source': 'file/도로 교통법/도로교통법(법률)(제20270호)(20240814).pdf'}","도로교통법(법률)(제20270호) 제12조(어린이 보호구역의 지정ㆍ해제 및 관리) ① 시장등은 교통사고의 위험으로부터 어린이를 보호하기 위하여 필요
하다고 인정하는 경우에는 다음 각 호의 어느 하나에 해당하는 시설이나 장소의 주변도로 가운데 일정 구간을 어린
이 보호구역으로 지정하여 자동차등과 노면전차의 통행속도를 시속 30킬로미터 이내로 제한할 수 있다. 1. 「유아교육법」 제2조에 따른 유치원, 「초ㆍ중등교육법」"
스쿨존에서 속도위반하면 어떻게 돼?,"스쿨존, 속도위반",2,-0.331114262342453,0.0163934426229508,3,,1.0,"{'law_title': '도로교통법 시행규칙(행정안전부령)(제00507호)', 'source': 'file/도로 교통법/도로교통법 시행규칙(행정안전부령)(제00507호)(20240731).pdf'}","도로교통법 시행규칙(행정안전부령)(제00507호) 제141조(교통안전심의위원회의 설치 등) ①도로교통안전에 관한 시책과 교통안전시설 관련 신기술 등을 심의하기 위
하여 경찰청에 교통안전심의위원회(이하 “교통안전위원회”라 한다)를 둔다.
②교통안전위원회는 위원장을 포함하여 25인 이상 30인 이내의 위원으로 구성하되, 위원장은 경찰청 소속 국장급
경찰공무원(자치경찰공무원은 제외한다)으로 하고, 위원은 도로교통안전 관련 분야의 지식과 경험이 풍부한 전문가
또는 공무원 중 경찰청장이 위촉 또는 임명하는 사람이 된다. ③위원 중 공무원이 아닌 위원의 임기는 2년으로 하되, 연임할 수 있다.
④그 밖에 교통안전위원회의 운영 등에 관하여 필요한 사항은 경찰청장이 정한다.

제141조의2(규제의 재검토) 경찰청장은 다음 각 호의 사항에 대하여 해당 호에서 정하는 날을 기준일로 하여 3년마다
(매 3년이 되는 해의 기준일과 같은 날 전까지를 말한다) 그 타당성을 검토하여 개선 등의 조치를 해야 한다. 1. 제19조에 따른 자동차등의 운행속도: 2014년 1월 1일
1의2. 제23조에 따른 대행법인등의 지정신청 등에 관한 첨부서류: 2022년 1월 1일
1의3. 제33조의3에 따른 개인형 이동장치 승차정원: 2023년 1월 1일
1의4. 제46조제1항 및 별표 16에 따른 운전면허 취소ㆍ정지를 받은 사람에 대한 특별교통안전 의무교육: 2023년
1월 1일
1의5. 제46조의2제1항 및 별표 16에 따른 긴급자동차 운전자에 대한 교통안전교육: 2023년 1월 1일
1의6. 제47조에 따른 교통안전교육기관의 지정신청 등에 관한 첨부서류: 2014년 7월 1일
1의7. 제91조제1항 및 별표 28에 따른 속도위반 운전자에 대한 운전면허 취소ㆍ정지처분 기준: 2023년 1월 1일
2. 제99조에 따른 자동차운전학원의 등록신청에 관한 첨부서류: 2014년 1월 1일
3. 제100조에 따른 자동차운전학원의 변경등록신청에 관한 첨부서류: 2014년 1월 1일
4. 삭제<2020. 2. 28.>
5. 제107조에 따른 자동차운전학원 교육과정의 운영기준 등: 2014년 1월 1일
5의2. 제113조에 따른 전문학원의 지정신청 등에 관한 첨부서류: 2014년 7월 1일
6. 삭제<2020. 2. 28.>
제11장 과태료 및 범칙행위의 처리"
스쿨존에서 속도위반하면 어떻게 돼?,"스쿨존, 속도위반",3,-0.3902566432952881,0.0163934426229508,2,1.0,,"{'law_title': '도로교통법(법률)(제20270호)', 'source': 'file/도로 교통법/도로교통법(법률)(제20270호)(20240814).pdf'}","도로교통법(법률)(제20270호) 제154조(벌칙) 다음 각 호의 어느 하나에 해당하는 사람은 30만원 이하의 벌금이나 구류에 처한다. 1. 제42조를 위반하여 자동차등에 도색ㆍ표지 등을 하거나 그러한 자동차등을 운전한 사람
2. 제43조를 위반하여 제80조에 따른 원동기장치자전거를 운전할 수 있는 운전면허를 받지 아니하거나(원동기장치
자전거를 운전할 수 있는 운전면허의 효력이 정지된 경우를 포함한다) 국제운전면허증 또는 상호인정외국면허증
중 원동기장치자전거를 운전할 수 있는 것으로 기재된 국제운전면허증 또는 상호인정외국면허증을 발급받지 아
니하고(운전이 금지된 경우와 유효기간이 지난 경우를 포함한다) 원동기장치자전거를 운전한 사람(다만, 개인형
이동장치를 운전하는 경우는 제외한다)
3. 제45조를 위반하여 과로ㆍ질병으로 인하여 정상적으로 운전하지 못할 우려가 있는 상태에서 자동차등 또는 노면
전차를 운전한 사람(다만, 개인형 이동장치를 운전하는 경우는 제외한다)
3의2. 제53조제3항을 위반하여 보호자를 태우지 아니하고 어린이통학버스를 운행한 운영자
3의3. 제53조제4항을 위반하여 어린이나 영유아가 하차하였는지를 확인하지 아니한 운전자
3의4. 제53조제5항을 위반하여 어린이 하차확인장치를 작동하지 아니한 운전자. 다만, 점검 또는 수리를 위하여 일
시적으로 장치를 제거하여 작동하지 못하는 경우는 제외한다.
3의5. 제53조제6항을 위반하여 보호자를 태우지 아니하고 운행하는 어린이통학버스에 보호자 동승표지를 부착한
자
4. 제54조제2항에 따른 사고발생 시 조치상황 등의 신고를 하지 아니한 사람
5. 제56조제2항을 위반하여 원동기장치자전거를 운전할 수 있는 운전면허를 받지 아니하거나(원동기장치자전거를
운전할 수 있는 운전면허의 효력이 정지된 경우를 포함한다) 국제운전면허증 또는 상호인정외국면허증 중 원동
기장치자전거를 운전할 수 있는 것으로 기재된 국제운전면허증 또는 상호인정외국면허증을 발급받지 아니한 사
람(운전이 금지된 경우와 유효기간이 지난 경우를 포함한다)에게 원동기장치자전거를 운전하도록 시킨 고용주등
6. 제63조를 위반하여 고속도로등을 통행하거나 횡단한 사람
7. 제69조제1항에 따른 도로공사의 신고를 하지 아니하거나 같은 조 제2항에 따른 조치를 위반한 사람 또는 같은
조 제3항을 위반하여 교통안전시설을 설치하지 아니하거나 같은 조 제4항을 위반하여 안전요원 또는 안전유도
장비를 배치하지 아니한 사람 또는 같은 조 제6항을 위반하여 교통안전시설을 원상회복하지 아니한 사람
8. 제71조제1항에 따른 경찰서장의 명령을 위반한 사람
9. 제17조제3항을 위반하여 제17조제1항 및 제2항에 따른 최고속도보다 시속 80킬로미터를 초과한 속도로 자동차
등을 운전한 사람(제151조의2제2호 및 제153조제2항제2호에 해당하는 사람은 제외한다)

도로교통법"
스쿨존에서 속도위반하면 어떻게 돼?,"스쿨존, 속도위반",4,-0.7237265110015869,0.015625,7,4.0,,"{'law_title': '도로교통법(법률)(제20270호)', 'source': 'file/도로 교통법/도로교통법(법률)(제20270호)(20240814).pdf'}","도로교통법(법률)(제20270호) 제5조, 제8조제1항, 제10조제2항부터 제5항까지의 규정을 위반한 보행자(실외이동로봇이 위반한 경우에는 실외
이동로봇 운용자를 포함한다)
2. 제6조제1항ㆍ제2항ㆍ제4항 또는 제7조에 따른 금지ㆍ제한 또는 조치를 위반한 보행자(실외이동로봇이 위반한
경우에는 실외이동로봇 운용자를 포함한다)
2의2. 제8조의2제2항을 위반한 실외이동로봇 운용자
3. 제9조제1항을 위반하거나 같은 조 제3항에 따른 경찰공무원의 조치를 위반한 행렬등의 보행자나 지휘자
4. 제68조제3항을 위반하여 도로에서의 금지행위를 한 사람

도로교통법"
스쿨존에서 속도위반하면 어떻게 돼?,"스쿨존, 속도위반",5,-0.8726195096969604,0.0158730158730158,5,3.0,,"{'law_title': '도로교통법(법률)(제20270호)', 'source': 'file/도로 교통법/도로교통법(법률)(제20270호)(20240814).pdf'}","도로교통법(법률)(제20270호) 제150조(벌칙) 다음 각 호의 어느 하나에 해당하는 사람은 2년 이하의 징역이나 500만원 이하의 벌금에 처한다. 1. 제46조제1항 또는 제2항을 위반하여 공동 위험행위를 하거나 주도한 사람
2. 제77조제1항에 따른 수강 결과를 거짓으로 보고한 교통안전교육강사
3. 제77조제2항을 위반하여 교통안전교육을 받지 아니하거나 기준에 미치지 못하는 사람에게 교육확인증을 발급한
교통안전교육기관의 장
3의2. 제92조제3항을 위반하여 다른 사람 명의의 모바일운전면허증을 부정하게 사용한 사람
4. 거짓이나 그 밖의 부정한 방법으로 제99조에 따른 학원의 등록을 하거나 제104조제1항에 따른 전문학원의 지정
을 받은 사람
5. 제104조제1항에 따른 전문학원의 지정을 받지 아니하고 제108조제5항에 따른 수료증 또는 졸업증을 발급한 사
람
6. 제116조를 위반하여 대가를 받고 자동차등의 운전교육을 한 사람
7. 삭제<2024. 1. 30.>"
