query,query_tokens,answer,num_final_docs,context_preview
어린이 보호구역에서는 몇 km로 달려야 해?,"어린이, 보호, 구역, km, 어린이보호구역, 보호구역","어린이 보호구역에서는 시속 30km 이내로 주행해야 합니다. 이는 도로교통법 제12조에 명시되어 있으며, 시장등은 교통사고 위험으로부터 어린이들을 보호하기 위해 필요한 경우 주변도로를 어린",5,"도로교통법(법률)(제20270호) 제12조(어린이 보호구역의 지정ㆍ해제 및 관리) ① 시장등은 교통사고의 위험으로부터 어린이를 보호하기 위하여 필요
하다고 인정하는 경우에는 다음 각 호의 어느 하나에 해당하는 시설이나 장소의 주변도로 가운데 일정 구간을 어린
이 보호구역으로 지정하여 자동차등과 노면전차의 통행속도를 시속 30킬로미터 이내로 제한할 수 있다. 1. 「유아교육법」 제2조에 따른 유치원, 「초ㆍ중등교육법」

도로교통법 시행규칙(행정안전부령)(제00507호) 제12조 또는 제12조의2에 따라 어린이 보호구역, 노인 보호구역 또는 장애인 보호구역으로 지정된 구간인 경우
또는 보행자의 안전이나 통행을 위하여 특히 필요하다고 인정되는 경우에는 그렇지 않다.
가. 법 제2조제1호에 따른 도로로서 「도로의 구조ㆍ시설 기준에 관한 규칙」 제3조제1항에 따른 도로 중 집산도로
(集散道路) 및 국지도로(局地道路): 100미터
나. 법 제2조제1호에 따른 도로로서 가목에 따른 도로 외의 도로: 200미터

도로교통법 시행령(대통령령)(제34533호) 제160조 및 법 제161조에 따라 과
태료를 부과하려는 경우에는 행정안전부령으로 정하는 단속대장과 과태료 부과대상자 명부에 그 내용을 기록하여야
한다. 이 경우 단속대장은 특별한 사유가 없으면 전자적 처리가 가능한 방법으로 작성ㆍ관리하여야 한다. ② 시장등은 법 제160조제3항에 따라 법 제32조부터 제34조까지의 규정을 위반한 차의 운전자를 고용하고 있는 사
람이나 직접 운전자나 차를 관리하는 지위에 있는 사람 또는 차의 사용자(이하 “고용주등”이라 한다)에게 과태료를
부과하려는 경우에는 주차ㆍ정차위반 차에 과태료부과대상차표지를 붙인 후 해당 차를 촬영하거나 무인 교통단속
용 장비로 주차ㆍ정차위반 차를 촬영한 사진증거 등의 증거자료를 갖추어 부과하여야 하고, 증거자료는 관련 번호
를 부여하여 보존하여야 한다.
③ 시장등은 법 제160조제3항에도 불구"
스쿨존에서 속도위반하면 어떻게 돼?,"스쿨존, 속도위반","스쿨존에서 속도위반을 하면 어떻게 되나요?</s><s> '도로교통법' 제15조에 따르면, 스쿨존 내에서 시속 30km/h를 초과하여 운전하는 경우 벌금이나 구류 처분을 받을 수 있습니다. 또한, 같은 법 제9조제2항은 어린이 보호구역 내에서는 최고 속도가 시속 30km/h로 제한된다고 명시하고 있습니다. 스쿨존에서 속도위반으로 적발되면 경찰에 의해 과태료나 범칙금을 부과받을 수 있으며, 위반 정도와 운전자의 이력에 따라 처벌이 달라질 수 있음을 유의해야 합니다.",5,"도로교통법(법률)(제20270호) 제12조(어린이 보호구역의 지정ㆍ해제 및 관리) ① 시장등은 교통사고의 위험으로부터 어린이를 보호하기 위하여 필요
하다고 인정하는 경우에는 다음 각 호의 어느 하나에 해당하는 시설이나 장소의 주변도로 가운데 일정 구간을 어린
이 보호구역으로 지정하여 자동차등과 노면전차의 통행속도를 시속 30킬로미터 이내로 제한할 수 있다. 1. 「유아교육법」 제2조에 따른 유치원, 「초ㆍ중등교육법」

도로교통법 시행규칙(행정안전부령)(제00507호) 제141조(교통안전심의위원회의 설치 등) ①도로교통안전에 관한 시책과 교통안전시설 관련 신기술 등을 심의하기 위
하여 경찰청에 교통안전심의위원회(이하 “교통안전위원회”라 한다)를 둔다.
②교통안전위원회는 위원장을 포함하여 25인 이상 30인 이내의 위원으로 구성하되, 위원장은 경찰청 소속 국장급
경찰공무원(자치경찰공무원은 제외한다)으로 하고, 위원은 도로교통안전 관련 분야의 지식과 경험이 풍부한 전문가
또는 공무원 중 경찰청장이 위촉 또는 임명하는 사람이 된다. ③위원 중 공무원이 아닌 위원의 임기는 2년으로 하되, 연임할 수 있다.
④그 밖에 교통안전위원회의 운영 등에 관하여 필요한 사항은 경찰청장이 정한다.

제141조의2(규제의 재검토) 경찰청장은 다음 각 호의 사항에 대하여 해당 호에서 정하는 날을 기준일로 하여 3년마다
(매 3년이 되는 해의 기준일과 같은 날 전까지를 말한다) 그 타당성을 검토하여 개선 등의 조치를 해야 한다. 1. 제19조에 따른 자동차등의 운행속도: 2014년 1월 1일
1의2. 제23조에 따른 대행법인등의 지정신청 등에 관한 첨부서류: 2022년 1월 1일
1의3. 제33조의3에 따른 개인형 이동장치 승차정원: 2023년 1월 1일
1의4. 제46조제1항 및 별표 16에 따른 운전면허 취소ㆍ정지를 받은 사람에 대한 특별교통안전 의무교육: 2023년
1월 1일
1의5. 제46조의2제1항 및 별표 1"
주정차 위반하면 과태료가 얼마나 나와?,"정차, 위반, 과태료, 얼마나, 주정차위반, 정차위반","주정차 위반 시 과태료는 4만 원부터 시작하여 최대 8만 원까지 부과됩니다. 정확한 금액은 위반 행위의 종류와 정도, 범칙금과의 형평성 등 여러 요소에 따라 달라질 수 있습니다. 또한, 자진납부자에 대한 감면율과 체납자의 소득이나 재산 여부도 과태료 금액을 결정하는 데 영향을 미칠 수 있습니다.",5,"도로교통법(법률)(제20270호) 제62조 또는 제68조제3항제5호를 위반한 사실이 사진, 비디오테이프나 그 밖의 영상기록매체에 의하여 입증되고
다음 각 호의 어느 하나에 해당하는 경우에는 제56조제1항에 따른 고용주등에게 20만원 이하의 과태료를 부과한다
. 1. 위반행위를 한 운전자를 확인할 수 없어 제143조제1항에 따른 고지서를 발급할 수 없는 경우(제15조제3항, 제
29조제4항ㆍ제5항,

도로교통법 시행령(대통령령)(제34533호) 제5조, 제17조제3항 및 제32조부터 제34조까지의 규정 중 어느 하나를 위반한 경우 과
태료의 부과기준은 별표 7과 같다. ⑤ 「질서위반행위규제법」 제18조에 따른 자진납부자에 대한 과태료 감경 비율은 같은 법 시행령 제5조의 감경 범
위에서 다음 각 호의 기준에 따라 행정안전부령으로 정하는 비율로 한다. 1. 과태료 체납률
2. 위반행위의 종류, 내용 및 정도
3. 범칙금과의 형평성
⑥ 법 제160조에 따른 과태료는 과태료 납부고지서를 받은 날부터 60일 이내에 내야 한다. 다만, 천재지변이나 그
밖의 부득이한 사유로 과태료를 낼 수 없을 때에는 그 사유가 없어진 날부터 5일 이내에 내야 한다.
⑦ 시장등은 과태료의 납부 고지를 받은 자가 납부기간 이내에 과태료를 내지 아니하면 「질서위반행위규제법」 제
24조제3항에 따른 체납처분을 하기 전에 지방세 중 자동차세의 납부고지서와 함께 미납과태료(가산금을 포함한다
)의 납부를 고지할 수 있다.
⑧ 시ㆍ도경찰청장 또는 시장등은 차의 등록원부가 있는 지역 또는 노면전차 운영자의 소재지(법인인 경우에는 주
된 사무소의 소재지를 말한다)가 있는 지역(이하 “차적지”라 한다)이 다른 관할구역인 경우에는 행정안전부령으로
정하는 바에 따라 차적지를 관할하는 시ㆍ도경찰청장 또는 시장등에게 과태료 징수를 의뢰하여야 한다. 이 경우 과
태로 징수를 의뢰한 시장등은 차적지를 관할하는 시장등에게 징수된 과태료의 100분의 30 범위에서 행정안전부령

도로교통법 시행령
"
음주운전하면 면허가 바로 취소돼?,"음주운전, 면허, 바로, 취소","음주운전으로 면허가 바로 취소되나요? 음주운전은 도로교통법 제44조에 따라 처벌되며, 1회 위반 시에는 벌금이나 구류 처분을 받게 됩니다. 하지만, 음주운전을 반복하여 운전면허 정지 사유에 해당되거나 적성검사를 받지 않은 경우와 같은 다른 교통 법규를 위반한 경우에는 면허가 취소될 수 있습니다. 또한, 음주운전 방지장치 부착 조건부 운전면허 제도를 통해 일정 기간 동안 음주운전 방지 장치를 설치하고 운전을 해야 할 수도 있습니다. 하지만, 음주운전만으로 바로 면허가 취소되지는 않습니다.",5,"도로교통법(법률)(제20270호) 제93조(운전면허의 취소ㆍ정지) ① 시ㆍ도경찰청장은 운전면허(연습운전면허는 제외한다. 이하 이 조에서 같다)를 받은
사람이 다음 각 호의 어느 하나에 해당하면 행정안전부령으로 정하는 기준에 따라 운전면허(운전자가 받은 모든 범
위의 운전면허를 포함한다. 이하 이 조에서 같다)를 취소하거나 1년 이내의 범위에서 운전면허의 효력을 정지시킬
수 있다. 다만, 제2호, 제3호, 제7호, 제8호, 제8호의2, 제9호(정기 적성검사 기간이 지난 경우는 제외한다), 제14호, 제
16호, 제17호, 제20호의 규정에 해당하는 경우에는 운전면허를 취소하여야 하고(제8호의2에 해당하는 경우 취소하
여야 하는 운전면허의 범위는 운전자가 거짓이나 그 밖의 부정한 수단으로 받은 그 운전면허로 한정한다), 제18호의
규정에 해당하는 경우에는 정당한 사유가 없으면 관계 행정기관의 장의 요청에 따라 운전면허를 취소하거나 1년 이
내의 범위에서 정지하여야 한다. 1. 제44조제1항을 위반하여 술에 취한 상태에서 자동차등을 운전한 경우
2. 제44조제1항 또는 제2항 후단을 위반(자동차등을 운전한 경우로 한정한다. 이하 이 호 및 제3호에서 같다)한 사
람이 다시 같은 조 제1항을 위반하여 운전면허 정지 사유에 해당된 경우
3. 제44조제2항 후단을 위반하여 술에 취한 상태에 있다고 인정할 만한 상당한 이유가 있음에도 불구하고 경찰공무
원의 측정에 응하지 아니한 경우
4. 제45조를 위반하여 약물의 영향으로 인하여 정상적으로 운전하지 못할 우려가 있는 상태에서 자동차등을 운전한
경우
5. 제46조제1항을 위반하여 공동 위험행위를 한 경우
5의2. 제46조의3을 위반하여 난폭운전을 한 경우
5의3. 제17조제3항을 위반하여 제17조제1항 및 제2항에 따른 최고속도보다 시속 100킬로미터를 초과한 속도로
3회 이상 자동차등을 운전한 경우
6. 교통사고로 사람을 사상한 후 제54조제1항 또는 제2항에 따른 필요한 조치 또는 신고를 하지 아"
불법주차한 차는 신고할 수 있어?,"불법, 주차, 신고, 불법주차","신고하실 수 있습니다. 도로교통법 제17조에 따라 불법 주차된 차량은 신고 가능합니다. 그러나, 해당 차의 소유주나 운전자가 현장에는 없을 경우 직접 조치를 취하기는 어렵습니다.

경찰서장이나 시장 등은 법 제35조제2항에 따라 과태료부과대상차표지를 부착하고 견인할 수 있습니다. 또한, 주차위반 사실을 적발한 후 14일 이내에 해당 차의 소유주나 운전자에게 통보해야 합니다.

소유주나 운전자로부터 반환을 요구받지 않은 경우, 경찰서장이나 시장 등은 대통령령으로 정하는 바에 따라 차를 매각하거나 폐차할 수 있습니다. 이 과정에서 발생한 비용은",5,"도로교통법 시행령(대통령령)(제34533호) 제13조(주차위반 차의 견인ㆍ보관 및 반환 등을 위한 조치) ① 경찰서장, 도지사 또는 시장등은 법 제35조제2항에 따라
차를 견인하려는 경우에는 행정안전부령으로 정하는 바에 따라 과태료 또는 범칙금 부과 및 견인 대상 차임을 알리
는 표지(이하 “과태료부과대상차표지”라 한다)를 그 차의 보기 쉬운 곳에 부착하여 견인 대상 차임을 알 수 있도록
하여야 한다. ② 경찰서장, 도지사 또는 시장등은 법 제35조제2항에 따라 차를 견인한 경우에는 행정안전부령으로 정하는 바에
따라 그 차의 사용자(소유자나 소유자로부터 차의 관리를 위탁받은 사람을 말한다. 이하 같다) 또는 운전자가 그 차
의 소재를 쉽게 알 수 있도록 조치하여야 한다. ③ 경찰서장, 도지사 또는 시장등은 차를 견인하였을 때부터 24시간이 경과되어도 이를 인수하지 아니하는 때에는
해당 차의 보관장소 등 행정안전부령이 정하는 사항을 해당 차의 사용자 또는 운전자에게 등기우편으로 통지하여
야 한다. ④ 경찰서장, 도지사 또는 시장등은 견인하여 보관하고 있는 차의 사용자나 운전자를 알 수 없는 경우에는 법 제
35조제4항에 따라 차를 견인한 날부터 14일간 해당 기관의 게시판에 다음 각 호의 사항을 공고하고, 행정안전부령
으로 정하는 바에 따라 열람부를 작성ㆍ비치하여 관계자가 열람할 수 있도록 하여야 한다.

도로교통법 시행령
1. 보관하고 있는 차의 종류 및 형상
2. 보관하고 있는 차가 있던 장소 및 그 차를 견인한 일시
3. 차를 보관하고 있는 장소
4. 그 밖에 차를 보관하기 위하여 필요하다고 인정되는 사항
⑤ 경찰서장, 도지사 또는 시장등은 제4항에 따른 공고기간이 지나도 차의 사용자나 운전자를 알 수 없는 경우에는
제4항 각 호의 내용을 일간신문, 관보, 공보 중 하나 이상에 공고하고, 인터넷 홈페이지에도 공고해야 한다. 다만, 일
간신문 등에 공고할 만한 재산적 가치가 없다고 인정되는 경우에는 그렇지 않다.

도로교통법(법률)(제2"
주차위반한 차는 바로 견인될 수 있어?,"주차, 위반, 바로, 견인, 주차위반","주차 위반한 차를 바로 견인할 수 있나요?
아니요, 주차 위반 차는 도로교통법 제17조에 따라 과태료 또는 범칙금 부과 및 견인 대상 차임을 알리는 표지(과태료부과대상차표지)를 부착하는 등 필요한 조치를 거친 후 경찰서장, 도지사 또는 시장등이 견인할 수 있습니다. 또한, 해당 차량의 사용자나 운전자에게 그 사실을 통보하고 보관 장소 등을 공고해야 합니다. 만약 1개월 이내에 인수하지 않으면 매각하거나 폐차할 수 있지만, 이 과정에서 발생한 비용은 차 소유자가 부담합니다.",5,"도로교통법 시행령(대통령령)(제34533호) 제13조(주차위반 차의 견인ㆍ보관 및 반환 등을 위한 조치) ① 경찰서장, 도지사 또는 시장등은 법 제35조제2항에 따라
차를 견인하려는 경우에는 행정안전부령으로 정하는 바에 따라 과태료 또는 범칙금 부과 및 견인 대상 차임을 알리
는 표지(이하 “과태료부과대상차표지”라 한다)를 그 차의 보기 쉬운 곳에 부착하여 견인 대상 차임을 알 수 있도록
하여야 한다. ② 경찰서장, 도지사 또는 시장등은 법 제35조제2항에 따라 차를 견인한 경우에는 행정안전부령으로 정하는 바에
따라 그 차의 사용자(소유자나 소유자로부터 차의 관리를 위탁받은 사람을 말한다. 이하 같다) 또는 운전자가 그 차
의 소재를 쉽게 알 수 있도록 조치하여야 한다. ③ 경찰서장, 도지사 또는 시장등은 차를 견인하였을 때부터 24시간이 경과되어도 이를 인수하지 아니하는 때에는
해당 차의 보관장소 등 행정안전부령이 정하는 사항을 해당 차의 사용자 또는 운전자에게 등기우편으로 통지하여
야 한다. ④ 경찰서장, 도지사 또는 시장등은 견인하여 보관하고 있는 차의 사용자나 운전자를 알 수 없는 경우에는 법 제
35조제4항에 따라 차를 견인한 날부터 14일간 해당 기관의 게시판에 다음 각 호의 사항을 공고하고, 행정안전부령
으로 정하는 바에 따라 열람부를 작성ㆍ비치하여 관계자가 열람할 수 있도록 하여야 한다.

도로교통법 시행령
1. 보관하고 있는 차의 종류 및 형상
2. 보관하고 있는 차가 있던 장소 및 그 차를 견인한 일시
3. 차를 보관하고 있는 장소
4. 그 밖에 차를 보관하기 위하여 필요하다고 인정되는 사항
⑤ 경찰서장, 도지사 또는 시장등은 제4항에 따른 공고기간이 지나도 차의 사용자나 운전자를 알 수 없는 경우에는
제4항 각 호의 내용을 일간신문, 관보, 공보 중 하나 이상에 공고하고, 인터넷 홈페이지에도 공고해야 한다. 다만, 일
간신문 등에 공고할 만한 재산적 가치가 없다고 인정되는 경우에는 그렇지 않다.

도로교통법 시행규칙("
운전하면서 휴대폰 보면 처벌받아?,"운전, 휴대폰, 처벌","운전 중 휴대폰 사용은 도로교통법에 따라 처벌받을 수 있습니다. 운전 중에 휴대폰을 사용하면 음주운전과 같은 혐의를 받게 되며, 혈중 알코올 농도에 따라 벌금 또는 징역형을 받을 수 있습니다. 또한 경찰관의 요구에 따르지 않거나 음주 측정 장치 기능을 방해하는 행위는 별도의 처벌을 받습니다.

도로교통법 제47조 및 제58조는 교통단속 시 경찰관에게 협조를 거부하거나 방해하는 행위를 금지하고 있으며, 이를 위반할 경우 1년 이하의 징역 또는 300만 원 이하의 벌금에 처해질 수 있습니다. 또한 도로교통법 제62조와 제68조제3항은 교통안전시설을",5,"도로교통법(법률)(제20270호) 제148조(벌칙) 제54조제1항에 따른 교통사고 발생 시의 조치를 하지 아니한 사람(주ㆍ정차된 차만 손괴한 것이 분명한
경우에 제54조제1항제2호에 따라 피해자에게 인적 사항을 제공하지 아니한 사람은 제외한다)은 5년 이하의 징역이
나 1천500만원 이하의 벌금에 처한다. 제148조의2(벌칙) ① 제44조제1항 또는 제2항을 위반(자동차등 또는 노면전차를 운전한 경우로 한정한다. 다만, 개인형
이동장치를 운전한 경우는 제외한다. 이하 이 조에서 같다)하여 벌금 이상의 형을 선고받고 그 형이 확정된 날부터
10년 내에 다시 같은 조 제1항 또는 제2항을 위반한 사람(형이 실효된 사람도 포함한다)은 다음 각 호의 구분에 따라
처벌한다. 1. 제44조제2항을 위반한 사람은 1년 이상 6년 이하의 징역이나 500만원 이상 3천만원 이하의 벌금에 처한다.
2. 제44조제1항을 위반한 사람 중 혈중알코올농도가 0.2퍼센트 이상인 사람은 2년 이상 6년 이하의 징역이나 1천만
원 이상 3천만원 이하의 벌금에 처한다.
3. 제44조제1항을 위반한 사람 중 혈중알코올농도가 0.03퍼센트 이상 0.2퍼센트 미만인 사람은 1년 이상 5년 이하
의 징역이나 500만원 이상 2천만원 이하의 벌금에 처한다.
② 술에 취한 상태에 있다고 인정할 만한 상당한 이유가 있는 사람으로서 제44조제2항에 따른 경찰공무원의 측정
에 응하지 아니하는 사람(자동차등 또는 노면전차를 운전한 경우로 한정한다)은 1년 이상 5년 이하의 징역이나
500만원 이상 2천만원 이하의 벌금에 처한다. ③ 제44조제1항을 위반하여 술에 취한 상태에서 자동차등 또는 노면전차를 운전한 사람은 다음 각 호의 구분에 따
라 처벌한다.
1. 혈중알코올농도가 0.2퍼센트 이상인 사람은 2년 이상 5년 이하의 징역이나 1천만원 이상 2천만원 이하의 벌금
2. 혈중알코올농도가 0.08퍼센트 이상 0.2퍼센트 미만인 사람은 1년 이상 2년 이하의 징역이나 500만원 이상 1천"
음주측정 거부하면 어떻게 돼?,"음주, 측정, 거부","음주측정 거부 시 법적 처벌을 받게 됩니다. 도로교통법 44조 3항에 따르면, 음주측정을 거부할 경우 면허가 취소되고 벌금 또는 징역형을 받을 수 있습니다. 또한, 운전면허 재취득 전에 일정 기간 동안 특별교육을 이수해야 합니다.

음주운전 시 처벌은 혈중 알코올 농도에 따라 달라집니다. 0.03% 이상이면 음주운전으로 간주되며, 면허 정지 또는 취소와 함께 벌금이나 징역형을 받을 수 있습니다. 또한, 일정 기간 동안 특별교육을 이수해야 합니다.

음주측정 거부나 음주운전은 심각한 범죄로 간주됩니다. 이러한 행위는 타인의 생명과 안전을",5,"도로교통법(법률)(제20270호) 제47조, 제50조의3, 제93조제1항제1호부터 제
4호까지 및 제148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다. ② 경찰공무원은 교통의 안전과 위험방지를 위하여 필요하다고 인정하거나 제1항을 위반하여 술에 취한 상태에서
자동차등, 노면전차 또는 자전거를 운전하였다고 인정할 만한 상당한 이유가 있는 경우에는 운전자가 술에 취하였
는지를 호흡조사로 측정할 수 있다. 이 경우 운전자는 경찰공무원의 측정에 응하여야 한다. ③ 제2항에 따른 측정 결과에 불복하는 운전자에 대하여는 그 운전자의 동의를 받아 혈액 채취 등의 방법으로 다시
측정할 수 있다.

도로교통법
④ 제1항에 따라 운전이 금지되는 술에 취한 상태의 기준은 운전자의 혈중알코올농도가 0.03퍼센트 이상인 경우로
한다. ⑤ 제2항 및 제3항에 따른 측정의 방법, 절차 등 필요한 사항은 행정안전부령으로 정한다.

도로교통법(법률)(제20270호) 제47조, 제93조제1항제1호부터 제4호까지 및 제
148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다. ② 경찰공무원은 교통의 안전과 위험방지를 위하여 필요하다고 인정하거나 제1항을 위반하여 술에 취한 상태에서
자동차등, 노면전차 또는 자전거를 운전하였다고 인정할 만한 상당한 이유가 있는 경우에는 운전자가 술에 취하였
는지를 호흡조사로 측정할 수 있다. 이 경우 운전자는 경찰공무원의 측정에 응하여야 한다. ③ 제2항에 따른 측정 결과에 불복하는 운전자에 대하여는 그 운전자의 동의를 받아 혈액 채취 등의 방법으로 다시
측정할 수 있다.
④ 제1항에 따라 운전이 금지되는 술에 취한 상태의 기준은 운전자의 혈중알코올농도가 0.03퍼센트 이상인 경우로
한다. ⑤ 제2항 및 제3항에 따른 측정의 방법, 절차 등 필요한 사항은 행정안전부령으로 정한다.

도로교통법(법률)(제20270호) 제34조 또는 제52조제4항을 위반하거나 "
횡단보도에서 보행자는 얼마나 보호받아?,"횡단보도, 보행자, 얼마나, 보호","
횡단보도에 서 있는 보행자는 차량 운전자에게 일시정지 의무를 부과하는 도로교통법 제17조 제2항에 따라 보호받습니다. 이는 모든 차 또는 노면전차의 운전자에게 횡단보도를 통행하거나 통행하려고 하는 보행자의 안전을 확보하기 위해 횡단보도 앞 정지선에서 일시정지를 요구합니다(도로교통법 제17조 제2항).

또한, 도로교통법 제8조에 따라 보행자는 보도와 차도가 구분된 도로를 이용할 때 반드시 보도를 이용해야 하며, 차도는 통행할 수 없습니다. 다만, 도로공사 등으로 인해 보도의 통행을 금지한 경우나 부득이한 경우에는",5,"도로교통법(법률)(제20270호) 제27조(보행자의 보호) ① 모든 차 또는 노면전차의 운전자는 보행자(제13조의2제6항에 따라 자전거등에서 내려서 자
전거등을 끌거나 들고 통행하는 자전거등의 운전자를 포함한다)가 횡단보도를 통행하고 있거나 통행하려고 하는 때
에는 보행자의 횡단을 방해하거나 위험을 주지 아니하도록 그 횡단보도 앞(정지선이 설치되어 있는 곳에서는 그 정
지선을 말한다)에서 일시정지하여야 한다. ② 모든 차 또는 노면전차의 운전자는 교통정리를 하고 있는 교차로에서 좌회전이나 우회전을 하려는 경우에는 신
호기 또는 경찰공무원등의 신호나 지시에 따라 도로를 횡단하는 보행자의 통행을 방해하여서는 아니 된다. ③ 모든 차의 운전자는 교통정리를 하고 있지 아니하는 교차로 또는 그 부근의 도로를 횡단하는 보행자의 통행을
방해하여서는 아니 된다.
④ 모든 차의 운전자는 도로에 설치된 안전지대에 보행자가 있는 경우와 차로가 설치되지 아니한 좁은 도로에서 보
행자의 옆을 지나는 경우에는 안전한 거리를 두고 서행하여야 한다.
⑤ 모든 차 또는 노면전차의 운전자는 보행자가 제10조제3항에 따라 횡단보도가 설치되어 있지 아니한 도로를 횡
단하고 있을 때에는 안전거리를 두고 일시정지하여 보행자가 안전하게 횡단할 수 있도록 하여야 한다. ⑥ 모든 차의 운전자는 다음 각 호의 어느 하나에 해당하는 곳에서 보행자의 옆을 지나는 경우에는 안전한 거리를
두고 서행하여야 하며, 보행자의 통행에 방해가 될 때에는 서행하거나 일시정지하여 보행자가 안전하게 통행할 수
있도록 하여야 한다. 1. 보도와 차도가 구분되지 아니한 도로 중 중앙선이 없는 도로
2. 보행자우선도로
3. 도로 외의 곳
⑦ 모든 차 또는 노면전차의 운전자는 제12조제1항에 따른 어린이 보호구역 내에 설치된 횡단보도 중 신호기가 설
치되지 아니한 횡단보도 앞(정지선이 설치된 경우에는 그 정지선을 말한다)에서는 보행자의 횡단 여부와 관계없이
일시정지하여야 한다.

도로교통법(법ᄅ"
무면허운전하면 처벌이 어떻게 돼?,"무면허운전, 처벌","무면허운전으로 처벌받을 수 있는 내용은 다음과 같습니다:
- 도로교통법 제43조에 따라 무면허로 운전한 경우, 1년 이하의 징역 또는 300만 원 이하의 벌금에 처해질 수 있습니다.
- 거짓이나 부정한 방법으로 운전면허를 받거나 운전면허증을 발급받은 경우에는 도로교통법 제152조에 따라 1년 이하의 징역 또는 300만 원 이하의 벌금을 받을 수 있습니다.
- 자동차 등을 이용하여 범죄 행위를 하거나 다른 사람의 차량을 도난하거나 절취한 후 무면허로 운전한 경우, 도로교통법 제43조를 위반하여 그 날로부터 3년간",5,"도로교통법(법률)(제20270호) 제12조 중 증거를 날조ㆍ인멸ㆍ은닉한 죄

도로교통법
나. 「형법」 중 다음 어느 하나의 범죄
1) 살인ㆍ사체유기 또는 방화
2) 강도ㆍ강간 또는 강제추행
3) 약취ㆍ유인 또는 감금
4) 상습절도(절취한 물건을 운반한 경우에 한정한다)
5) 교통방해(단체 또는 다중의 위력으로써 위반한 경우에 한정한다)
다. 「보험사기방지 특별법」 중 제8조부터 제10조까지의 죄
12. 다른 사람의 자동차등을 훔치거나 빼앗은 경우
13. 다른 사람이 부정하게 운전면허를 받도록 하기 위하여 제83조에 따른 운전면허시험에 대신 응시한 경우
14. 이 법에 따른 교통단속 임무를 수행하는 경찰공무원등 및 시ㆍ군공무원을 폭행한 경우
15. 운전면허증을 다른 사람에게 빌려주어 운전하게 하거나 다른 사람의 운전면허증을 빌려서 사용한 경우
16. 「자동차관리법」에 따라 등록되지 아니하거나 임시운행허가를 받지 아니한 자동차(이륜자동차는 제외한다)를
운전한 경우
17. 제1종 보통면허 및 제2종 보통면허를 받기 전에 연습운전면허의 취소 사유가 있었던 경우
18. 다른 법률에 따라 관계 행정기관의 장이 운전면허의 취소처분 또는 정지처분을 요청한 경우
18의2. 제39조제1항 또는 제4항을 위반하여 화물자동차를 운전한 경우
19. 이 법이나 이 법에 따른 명령 또는 처분을 위반한 경우
20. 운전면허를 받은 사람이 자신의 운전면허를 실효(失效)시킬 목적으로 시ㆍ도경찰청장에게 자진하여 운전면허를
반납하는 경우. 다만, 실효시키려는 운전면허가 취소처분 또는 정지처분의 대상이거나 효력정지 기간 중인 경우
는 제외한다.
② 시ㆍ도경찰청장은 제1항에 따라 운전면허를 취소하거나 운전면허의 효력을 정지하려고 할 때 그 기준으로 활용
하기 위하여 교통법규를 위반하거나 교통사고를 일으킨 사람에 대하여는 행정안전부령으로 정하는 바에 따라 위반
및 피해의 정도 등에 따라 벌점을 부과할 수 있으며, 그 벌점이 행정안전부령으로 정하는 기간 동안 일정한 점수를
초과하"
